model_a,model_b,token_idx,token_id,token_str,p_a,p_b,ratio_pA_over_pB
gpt2,gpt2-medium,42,286, of,0.934236226,0.99580399,0.938172809
gpt2,gpt2-medium,43,14734, Liberty,0.976639994,0.995312239,0.981239812
gpt2,gpt2-medium,44,284, to,0.912467746,0.993773727,0.918184614
gpt2,gpt2-medium,45,6731, ourselves,0.974511653,0.999869125,0.974639208
gpt2,gpt2-medium,46,290, and,0.986521341,0.9929992,0.993476471
gpt2,gpt2-medium,47,674, our,0.878868567,0.994222007,0.883976175
gpt2,gpt2-medium,48,2947, Post,0.687701086,0.999879613,0.687783886
gpt2,gpt2-medium,49,32821,erity,0.993477725,0.999979735,0.993497859
gpt2,gpt2-medium,50,11,",",0.631106007,0.971733613,0.649464008
gpt2,gpt2-medium,51,466, do,0.024280865,0.99491383,0.024404993
gpt2,gpt2-medium,52,2760, ord,0.820425184,0.999200507,0.821081633
gpt2,gpt2-medium,53,391,ain,0.997315006,0.999886287,0.997428426
gpt2,gpt2-medium,54,290, and,0.822431492,0.999017965,0.823239942
gpt2,gpt2-medium,55,4474, establish,0.95656857,0.999432647,0.95711159
gpt2,gpt2-medium,56,428, this,0.57531847,0.997186493,0.5769417
gpt2,gpt2-medium,57,7965, Constitution,0.849788146,0.990838948,0.857645078
gpt2,gpt2-medium,58,329, for,0.506338018,0.991891391,0.510477278
gpt2,gpt2-medium,59,262, the,0.852976624,0.981006022,0.869491731
gpt2,gpt2-medium,60,1578, United,0.208958903,0.996055843,0.209786334
gpt2,gpt2-medium,61,1829, States,0.994007946,0.997679505,0.996319901
gpt2,gpt2-medium,62,286, of,0.905850236,0.994698055,0.910678603
gpt2,gpt2-medium,63,2253, America,0.995849976,0.999331326,0.996516321
gpt2,gpt2-medium,64,10172, Article,2.80E-05,5.30E-08,528.8214566
gpt2,gpt2-medium,65,13,.,0.000334165,0.013845082,0.024136029
gpt2,gpt2-medium,66,314, I,0.095547238,0.036119905,2.64527929
gpt2,gpt2-medium,67,13,.,0.11141463,0.150368072,0.740946055
gpt2,gpt2-medium,68,44513, SECTION,0.001205444,0.001687643,0.714276322
gpt2,gpt2-medium,69,13,.,0.341990304,0.017320148,19.74523002
gpt2,gpt2-medium,70,352,1,0.014869003,0.280530556,0.053003151
gpt2,gpt2-medium,71,1439, All,0.000323354,0.000223684,1.445584967
gpt2,gpt2-medium,72,10828, legislative,0.005688565,0.359548378,0.015821418
gpt2,gpt2-medium,73,20668, Powers,0.299454717,0.637744638,0.4695527
gpt2,gpt2-medium,74,24028, herein,0.164531198,0.945206026,0.174069137
gpt2,gpt2-medium,75,7520, granted,0.170481874,0.953434227,0.178808217
gpt2,gpt2-medium,76,2236, shall,0.239077999,0.957553589,0.249675843
gpt2,gpt2-medium,77,307, be,0.665629943,0.989880539,0.67243462
gpt2,gpt2-medium,78,32789, vested,0.716340742,0.996900894,0.718567659
gpt2,gpt2-medium,79,287, in,0.880453425,0.999272876,0.88109409
gpt2,gpt2-medium,80,257, a,0.017423443,0.980282648,0.017773897
gpt2,gpt2-medium,81,3162, Congress,0.007322054,0.973712029,0.007519732
gpt2,gpt2-medium,82,286, of,0.246385346,0.65233028,0.377700306
gpt2,gpt2-medium,83,262, the,0.360466398,0.980894293,0.367487507
gpt2,gpt2-medium,84,1578, United,0.733699638,0.986344563,0.743857335
gpt2,gpt2-medium,85,1829, States,0.998841081,0.998455529,1.000386148
gpt2,gpt2-medium,86,11,",",0.457372056,0.929152802,0.492246329
gpt2,gpt2-medium,87,543, which,0.069370226,0.947417296,0.07322035
gpt2,gpt2-medium,88,2236, shall,0.954785183,0.991549978,0.962921895
gpt2,gpt2-medium,89,3473, consist,0.772631669,0.976604633,0.791140696
gpt2,gpt2-medium,90,286, of,0.947171681,0.994287292,0.952613685
gpt2,gpt2-medium,91,257, a,0.012936087,0.889591915,0.014541597
gpt2,gpt2-medium,92,2311, Sen,0.000142606,1.30E-05,10.9837159
gpt2,gpt2-medium,93,12,-,0.04568923,0.030186989,1.513540486
gpt2,gpt2-medium,94,15063, ate,0.005405701,0.104652706,0.051653714
gpt2,gpt2-medium,95,290, and,0.032856238,0.334999333,0.098078518
gpt2,gpt2-medium,96,2097, House,0.000891386,0.243304296,0.003663667
gpt2,gpt2-medium,97,286, of,0.962631646,0.997276828,0.965260215
gpt2,gpt2-medium,98,17132, Representatives,0.990531124,0.835145078,1.186058746
gpt2,gpt2-medium,99,13,.,0.090859443,0.756836191,0.120051662
gpt2,gpt2-medium,100,44513, SECTION,0.000278618,0.005549635,0.050204741
gpt2,gpt2-medium,101,13,.,0.378274241,0.227195896,1.664969511
gpt2,gpt2-medium,102,362,2,0.9793434,0.998419759,0.980893448
gpt2,gpt2-medium,103,383, The,0.481802541,0.268634731,1.793522899
gpt2,gpt2-medium,104,2097, House,0.095130133,0.082448994,1.153805869
gpt2,gpt2-medium,105,286, of,0.887092649,0.977515168,0.90749758
gpt2,gpt2-medium,106,17132, Representatives,0.994921972,0.987588462,1.007425674
gpt2,gpt2-medium,107,2236, shall,0.692976383,0.978667687,0.708081397
gpt2,gpt2-medium,108,307, be,0.24566501,0.260169867,0.944248511
gpt2,gpt2-medium,109,13160, composed,0.672398037,0.948395876,0.708984564
gpt2,gpt2-medium,110,286, of,0.965893135,0.98712593,0.978490287
gpt2,gpt2-medium,111,4942, Mem,3.62E-07,0.000130637,0.002770831
gpt2,gpt2-medium,112,12,-,0.835948354,0.928264148,0.900550081
gpt2,gpt2-medium,113,275, b,0.680139005,0.940804177,0.722933659
gpt2,gpt2-medium,114,364,ers,0.954117963,0.992180814,0.961637182
gpt2,gpt2-medium,115,7147, chosen,0.004752389,0.322979196,0.014714228
gpt2,gpt2-medium,116,790, every,0.000656745,0.678608542,0.000967782
gpt2,gpt2-medium,117,1218, second,0.002002574,0.783665215,0.002555395
gpt2,gpt2-medium,118,6280, Year,0.071895256,0.925178266,0.077709625
gpt2,gpt2-medium,119,416, by,0.272534275,0.54134975,0.503434748
gpt2,gpt2-medium,120,262, the,0.727745688,0.901605029,0.807166847
gpt2,gpt2-medium,121,4380, People,0.466540604,0.620829744,0.751479142
gpt2,gpt2-medium,122,286, of,0.691009384,0.757175366,0.912614719
gpt2,gpt2-medium,123,262, the,0.923398386,0.95807186,0.963809109
gpt2,gpt2-medium,124,1811, several,0.005611171,0.702482527,0.007987631
gpt2,gpt2-medium,125,1829, States,0.958838758,0.913752108,1.049342322
gpt2,gpt2-medium,126,11,",",0.432104465,0.608469441,0.710149822
gpt2,gpt2-medium,127,290, and,0.416307954,0.441594226,0.942738671
gpt2,gpt2-medium,128,262, the,0.119395786,0.122035983,0.978365415
gpt2,gpt2-medium,129,5903, Elect,0.010567092,0.044376041,0.238126051
gpt2,gpt2-medium,130,669,ors,0.425064631,0.905621396,0.469362399
gpt2,gpt2-medium,131,287, in,0.006163001,0.71940281,0.008566829
gpt2,gpt2-medium,132,1123, each,0.544311086,0.892608984,0.609797902
gpt2,gpt2-medium,133,1812, State,0.501089983,0.906519225,0.552762666
gpt2,gpt2-medium,134,2236, shall,0.255936084,0.885785179,0.288936967
gpt2,gpt2-medium,135,423, have,0.059081023,0.834210996,0.070822638
gpt2,gpt2-medium,136,262, the,0.23747099,0.916642096,0.259066206
gpt2,gpt2-medium,137,9537, Qual,0.012267361,0.974719664,0.012585528
gpt2,gpt2-medium,138,22238,ifi,0.00885822,0.001200431,7.379197228
gpt2,gpt2-medium,139,12,-,0.990623533,0.965873892,1.025624092
gpt2,gpt2-medium,140,269, c,0.862820375,0.533351557,1.617732926
gpt2,gpt2-medium,141,602,ations,0.103778917,0.260139071,0.398936294
gpt2,gpt2-medium,142,37088, requisite,0.091340843,0.955758364,0.09556897
gpt2,gpt2-medium,143,329, for,0.217393925,0.633852202,0.34297258
gpt2,gpt2-medium,144,5903, Elect,0.023162584,0.8994229,0.025752718
gpt2,gpt2-medium,145,669,ors,0.237472802,0.717609973,0.330921826
gpt2,gpt2-medium,146,286, of,0.148717462,0.981928924,0.151454406
gpt2,gpt2-medium,147,262, the,0.417479674,0.865866038,0.48215273
gpt2,gpt2-medium,148,749, most,0.00895418,0.843593701,0.010614328
gpt2,gpt2-medium,149,6409, numerous,0.091045889,0.979408231,0.092960101
gpt2,gpt2-medium,150,20551, Branch,0.001178325,0.859509835,0.001370927
gpt2,gpt2-medium,151,286, of,0.571992503,0.969911342,0.589736895
gpt2,gpt2-medium,152,262, the,0.423108986,0.843489196,0.501617553
gpt2,gpt2-medium,153,1812, State,0.121326462,0.898491143,0.135033565
gpt2,gpt2-medium,154,20815, Legislature,0.240540129,0.785430179,0.306252721
gpt2,gpt2-medium,155,13,.,0.495068857,0.670891551,0.737926803
gpt2,gpt2-medium,156,1400, No,0.00372381,0.009985,0.372940381
gpt2,gpt2-medium,157,7755, Person,0.22634851,0.7905905,0.286303099
gpt2,gpt2-medium,158,2236, shall,0.402173431,0.431230515,0.93261821
gpt2,gpt2-medium,159,307, be,0.596912268,0.987077378,0.604726925
gpt2,gpt2-medium,160,257, a,0.038201758,0.3372158,0.113285789
gpt2,gpt2-medium,161,19920, Representative,0.157757703,0.232321384,0.679049429
gpt2,gpt2-medium,162,508, who,0.002752601,0.447012115,0.006157778
gpt2,gpt2-medium,163,2236, shall,0.755591319,0.939911326,0.803896387
gpt2,gpt2-medium,164,407, not,0.496145105,0.974789096,0.508976872
gpt2,gpt2-medium,165,423, have,0.363023992,0.839135619,0.432616593
gpt2,gpt2-medium,166,28681, attained,0.075569167,0.957327821,0.078937606
gpt2,gpt2-medium,167,284, to,0.122549201,0.956252782,0.128155655
gpt2,gpt2-medium,168,262, the,0.762626248,0.993976027,0.76724813
gpt2,gpt2-medium,169,7129, Age,0.019143799,0.709461306,0.02698357
gpt2,gpt2-medium,170,286, of,0.939752749,0.999653698,0.9400783
gpt2,gpt2-medium,171,8208, twenty,0.172104086,0.166247753,1.035226543
gpt2,gpt2-medium,172,1936, five,0.00623114,0.579969976,0.0107439
gpt2,gpt2-medium,173,13212, Years,0.596768476,0.959170078,0.622171698
gpt2,gpt2-medium,174,11,",",0.446499672,0.880820068,0.5069136
gpt2,gpt2-medium,175,290, and,0.286299741,0.993447723,0.288188029
gpt2,gpt2-medium,176,587, been,0.004491386,0.957195972,0.004692233
gpt2,gpt2-medium,177,3598, seven,0.000267461,0.728994173,0.00036689
gpt2,gpt2-medium,178,13212, Years,0.607997728,0.97884675,0.62113679
gpt2,gpt2-medium,179,257, a,0.175534732,0.976348656,0.179786935
gpt2,gpt2-medium,180,22307, Citizen,0.387682422,0.898348833,0.431549981
gpt2,gpt2-medium,181,286, of,0.602253444,0.974515842,0.618002723
gpt2,gpt2-medium,182,262, the,0.714215912,0.980355968,0.728527122
gpt2,gpt2-medium,183,1578, United,0.870513904,0.973989129,0.893761417
gpt2,gpt2-medium,184,1829, States,0.992302759,0.987493829,1.004869833
gpt2,gpt2-medium,185,11,",",0.294226231,0.759327271,0.387482765
gpt2,gpt2-medium,186,290, and,0.18167379,0.952449876,0.190743675
gpt2,gpt2-medium,187,508, who,0.043007566,0.468945302,0.091711262
gpt2,gpt2-medium,188,2236, shall,0.623553597,0.933815448,0.667748213
gpt2,gpt2-medium,189,407, not,0.30700532,0.925948065,0.331557818
gpt2,gpt2-medium,190,11,",",0.023615354,0.537704426,0.043918839
gpt2,gpt2-medium,191,618, when,0.019940283,0.810757671,0.024594628
gpt2,gpt2-medium,192,7018, elected,0.064204973,0.97901651,0.065581093
gpt2,gpt2-medium,193,11,",",0.665394675,0.902665341,0.737144371
gpt2,gpt2-medium,194,307, be,0.358070601,0.571977128,0.626022586
gpt2,gpt2-medium,195,281, an,0.027234882,0.882367803,0.03086568
gpt2,gpt2-medium,196,554, In,0.006233187,0.765116707,0.008146714
gpt2,gpt2-medium,197,5976,hab,0.544242018,0.935776351,0.581594115
gpt2,gpt2-medium,198,23737,itant,0.508385823,0.928792218,0.547362276
gpt2,gpt2-medium,199,286, of,0.731427878,0.953562659,0.767047526
gpt2,gpt2-medium,200,326, that,0.009099461,0.184783263,0.049243966
gpt2,gpt2-medium,201,1812, State,0.823356101,0.959311469,0.85827818
gpt2,gpt2-medium,202,287, in,0.054121297,0.355619033,0.152188978
gpt2,gpt2-medium,203,543, which,0.217226757,0.994318053,0.218468081
gpt2,gpt2-medium,204,339, he,0.773117652,0.955895481,0.808788898
gpt2,gpt2-medium,205,2236, shall,0.490309367,0.909885161,0.538869506
gpt2,gpt2-medium,206,307, be,0.149694181,0.695424712,0.215255768
gpt2,gpt2-medium,207,7147, chosen,0.019691749,0.951938749,0.020685941
gpt2,gpt2-medium,208,13,.,0.403227899,0.695342521,0.579898232
